,zip,x_bar,pop,frequency distribution midpoint
166,91007,(SAN**zwei)I   ochoochoquatre,3.4095E4,"seventy-one thousand, two hundred and sixty-five"
167,91008,IochoZERO   ZEROochoV,"1,391","one hundred and twenty-two thousand, five hundred and two"
168,1010 ? ?,ZEVENI   quatrezweiV,"26,074","sixty-two thousand, nine hundred and ten"
169,91011,zweiI(SAN**zwei)   ochoZEROV,"20,280","one hundred and forty-four thousand, five hundred and thirty-two"
170,91016,ochoZERO   ZEVENquatrezwei,"40,598","sixty-eight thousand, four hundred and forty-seven"
171,91020,ochoSAN   Vquatrequatre,"8,415","sixty-seven thousand, six hundred and eighty-five"
172,91024,II(SAN**zwei)   (SAN**zwei)IV,"10,917","eighty-nine thousand, two hundred and twenty-four"
173,91030,II(SAN*zwei)   (SAN*zwei)SANSAN,"25,616","eighty-five thousand, eight hundred and seventeen"
174,91040,ZEVEN(SAN**zwei)   ochozweiI,"20,342","sixty-seven thousand, six hundred and thirty-five"
175,91042,ZEVENI   ZEVEN(SAN*zwei)quatre,2.7572E4,"fifty-seven thousand, two hundred and seven"
176,91046,ochozwei   ZEROSAN(SAN*zwei),156,"sixty-seven thousand, eight hundred and sixteen"
177,91101,ZEVENI   SANZERO(SAN**zwei),"20,460","fifty-three thousand, three hundred and seventy-six"
178,91103,ZEVENZEVEN   ochoVSAN,"27,480","sixty thousand, five hundred and twenty-six"
179,91104,ochoquatre   (SAN*zwei)ZEVENZEVEN,"36,751","sixty-four thousand, eight hundred and thirty-nine"
180,1105 ? ?,I(SAN*zwei)ocho   quatreZEROzwei,"11,254","one hundred and eighteen thousand, five hundred and fifty-five"
181,91106,ocho(SAN*zwei)   ochoZERO(SAN*zwei),"24,229","sixty-four thousand, nine hundred and fifty-six"
182,91107,IZEROSAN   VSANV,"32,940","seventy-seven thousand, seven hundred and nineteen"
183,91108,zweizweiZERO   SANquatreV,"13,361","one hundred and fifty-two thousand, six hundred and ninety-seven"
184,91201,(SAN*zwei)(SAN**zwei)   SANII,2.2781E4,"fifty-seven thousand, three hundred and forty-three"
185,91202,(SAN**zwei)quatre   (SAN*zwei)VI,"22,830","seventy-four thousand, five hundred and ninety-four"
186,91203,V(SAN*zwei)   (SAN*zwei)ZEROV,"13,220",forty-four thousand and thirty-three
187,91204,quatre(SAN*zwei)   ochoSAN(SAN*zwei),"16,032","thirty-seven thousand, one hundred and seventy-seven"
188,91205,quatreocho   (SAN*zwei)ZEVENzwei,"37,810","thirty-six thousand, eight hundred and forty-two"
189,91206,ochoV   Vocho(SAN**zwei),"33,065","sixty-one thousand, five hundred and forty-six"
190,91207,IzweiSAN   ochoSAN(SAN*zwei),"10,506",ninety-nine thousand and fifty-two
191,91208,IIV   zweiochoZERO,"16,245","ninety-three thousand, eight hundred and sixty-five"
192,1210 ? ?,VV   (SAN**zwei)zweiI,328,"forty-four thousand, nine hundred and thirteen"
193,91214,IZEROV   (SAN*zwei)ochoZEVEN,3.0356E4,eighty-nine thousand and one
194,91301,Iquatre(SAN**zwei)   VquatreI,"25,488","one hundred and nine thousand, four hundred and seventeen"
195,91302,zweiZEROI   VZEVENZEVEN,"25,709","one hundred and thirty-five thousand, six hundred and three"
196,91303,Vquatre   SANochoI,"26,855","forty-eight thousand, three hundred and seventy-nine"
197,91304,ZEVEN(SAN**zwei)   VIquatre,"50,230",sixty-six thousand and forty-four
198,91306,(SAN*zwei)ZEVEN   zweiochoZERO,"45,061",fifty-five thousand and forty-one
199,91307,IIV   quatreZEROZEVEN,"24,474","ninety thousand, five hundred and twenty-three"
200,91311,IZEROZERO   ochoSANSAN,"35,104","seventy-nine thousand, four hundred and forty-six"
201,91316,(SAN**zwei)(SAN**zwei)   quatreZEROquatre,"26,898","sixty-nine thousand, three hundred and seventy-five"
202,91320,Izweizwei   zwei(SAN**zwei)quatre,4.4274E4,"one hundred and four thousand, two hundred and eighty-four"
203,91321,ZEVENZEVEN   VquatreV,"34,882","sixty-one thousand, five hundred and eighty-one"
