,zip,x_bar,pop,frequency distribution midpoint
530,92539,(SAN*zwei)V   VZEVENZERO,"4,734","forty-seven thousand, five hundred and nineteen"
531,92543,quatrezwei   zweiochoI,"33,555","thirty-three thousand, three hundred and twenty"
532,92544,(SAN*zwei)ZERO   ZEVENZEVENZEVEN,"44,734","forty-eight thousand, four hundred and fifty"
533,92545,V(SAN*zwei)   II(SAN**zwei),"39,457","forty-five thousand, one hundred and forty-six"
534,92548,VSAN   VquatreSAN,"6,643","forty thousand, two hundred and eighty"
535,92549,(SAN*zwei)V   ochoZEROI,"3,926 foo","forty-seven thousand, nine hundred and thirty-two"
536,92551,(SAN*zwei)zwei   (SAN*zwei)ZEROI,"30,815","fifty-four thousand, one hundred and twenty-eight"
537,92553,VV   SANVI,"73,722","forty-six thousand, seven hundred and ninety-three"
538,92555,ZEVEN(SAN**zwei)   SANochozwei,"39,076","seventy-three thousand, two hundred and twenty-five"
539,92557,ZEVEN(SAN*zwei)   (SAN*zwei)zweiI,"50,320",sixty-five thousand and ninety-seven
540,2561 ? ?,ZEVENZERO   ZEVEN(SAN*zwei)V,"1,661","fifty-four thousand, two hundred and nine"
541,92562,(SAN**zwei)ocho   quatreVI,"62,079","eighty-two thousand, three hundred and eleven"
542,92563,(SAN**zwei)I   ZEVENzweiI,"53,892","eighty thousand, four hundred and eighteen"
543,92567,ZEVENZERO   quatrezweiZEVEN,"9,459","sixty thousand, five hundred and forty-one"
544,92570,VZEVEN   (SAN*zwei)zweiquatre,5.3697E4,"forty-seven thousand, six hundred and seventy-nine"
545,92571,(SAN*zwei)ZERO   SAN(SAN**zwei)ZERO,"52,516","fifty-four thousand, three hundred and twenty-nine"
546,92582,(SAN*zwei)(SAN*zwei)   ZEROochoquatre,"15,649","fifty-two thousand, five hundred and forty-five"
547,92583,VI   ZEVENzwei(SAN*zwei),"30,236","forty-one thousand, six hundred and sixty-six"
548,92584,ochoquatre   ZEVENZEVENZEVEN,"43,400","seventy-five thousand, nine hundred and sixty-six"
549,92585,(SAN*zwei)ZEVEN   ZEVENIZEVEN,"17,797","sixty thousand, three hundred and nine"
550,92586,Vquatre   SAN(SAN**zwei)ocho,"19,815","forty-four thousand, one hundred and fifty"
551,92587,ochoSAN   ochoVV,"16,675","seventy thousand, six hundred and seventy-one"
552,2590 ? ?,(SAN**zwei)zwei   SANochoquatre,"3,660","fifty-one thousand, eight hundred and eighty-six"
553,92591,ochoquatre   (SAN**zwei)ochozwei,3.8272E4,"seventy-two thousand, nine hundred and sixty-one"
554,92592,(SAN**zwei)(SAN*zwei)   (SAN*zwei)zwei(SAN*zwei),"72,492","eighty-six thousand, one hundred and forty-nine"
555,92595,ochoquatre   zweiVocho,"29,851","seventy-three thousand, six hundred and sixty-four"
556,92596,(SAN**zwei)(SAN*zwei)   ISAN(SAN*zwei),"23,172","eighty-four thousand, one hundred and twenty-three"
557,92602,ISAN(SAN*zwei)   SANzweiV,"22,871","one hundred and ten thousand, eight hundred and two"
558,92603,IZEVENocho   quatreVZERO,"20,184","one hundred and twenty-two thousand, six hundred and twenty-two"
559,92604,IZEROzwei   zweiZEROquatre,"26,853",eighty-five thousand and sixty-four
560,92606,IZEROZEVEN   ZEVEN(SAN*zwei)zwei,"21,495","ninety-five thousand, eight hundred and forty-one"
561,92610,Izweiocho   quatre(SAN*zwei)SAN,"11,248","one hundred and fourteen thousand, two hundred and ninety-seven"
562,92612,(SAN**zwei)zwei   IVV,2.7522E4,"seventy-two thousand, four hundred and twenty-four"
563,92614,IZEROV   SANocho(SAN*zwei),"24,748","eighty-six thousand, five hundred and ninety-seven"
564,2617 ? ?,(SAN*zwei)ZEVEN   I(SAN**zwei)zwei,"14,044","thirty thousand, nine hundred and thirteen"
565,92618,IZEROSAN   ZERO(SAN**zwei)quatre,"16,366","ninety-five thousand, one hundred and ninety-eight"
566,92620,Izweizwei   (SAN**zwei)ZEROocho,"38,486",one hundred and two thousand and ninety-five
567,92624,IZEROzwei   ochoVI,"7,248","sixty-eight thousand, one hundred and twenty-seven"
568,92625,zweiZERO(SAN*zwei)   ZEVENSANZERO,"12,478","one hundred and twenty-two thousand, three hundred and fifty-four"
569,92626,(SAN**zwei)ZERO   quatre(SAN*zwei)ZEVEN,"49,341","seventy-four thousand, five hundred and sixty-one"
570,92627,ochoZERO   ochoZEROZERO,"61,510","sixty thousand, eight hundred and ninety-five"
571,92629,IISAN   quatre(SAN**zwei)(SAN**zwei),2.5756E4,"eighty-three thousand, five hundred and fifty-eight"
572,92630,IZEROI   quatreZEROI,"59,182","eighty-four thousand, seven hundred and sixteen"
573,92637,VV   ZEROochoSAN,"16,012","thirty-eight thousand, nine hundred and ninety-four"
574,92646,IZEROI   V(SAN*zwei)ocho,"55,224","eighty-six thousand, nine hundred and seventy-two"
575,92647,ochoV   zweiZEVENI,"57,245","seventy-two thousand, seven hundred and eighty-one"
576,2648 ? ?,IIV   quatreVZEVEN,"45,317","eighty-nine thousand, seven hundred and ninety-seven"
577,92649,II(SAN*zwei)   SANZERO(SAN*zwei),"32,463","eighty-eight thousand, eight hundred and two"
578,92651,IZEVENV   VZEROZERO,"23,881",one hundred and one thousand and eighty-four
579,92653,ISANocho   (SAN**zwei)SANZERO,"29,291","ninety-nine thousand, seven hundred and thirty-five"
580,92655,ZEVENI   ZEVENVocho,"8,337 foo","fifty-nine thousand, two hundred and fifteen"
581,92656,IZERO(SAN**zwei)   ZEVEN(SAN**zwei)ZEVEN,"49,046","ninety-eight thousand, five hundred and sixty-nine"
582,92657,SANZEROquatre   (SAN*zwei)ZEVENocho,"9,741","one hundred and seventy-seven thousand, one hundred and ninety-nine"
583,92660,I(SAN*zwei)SAN   ZEROochoZEVEN,"34,797","one hundred and four thousand, seven hundred and fifty-three"
584,92661,ISAN(SAN**zwei)   VquatreV,"3,744","ninety-five thousand, five hundred and seventy-seven"
585,92662,Iquatrezwei   (SAN**zwei)II,"2,756","eighty-seven thousand, four hundred and four"
586,92663,IVZERO   (SAN**zwei)(SAN**zwei)(SAN**zwei),"21,649","one hundred and three thousand, eight hundred and seventeen"
587,92672,IZEROI   ochoocho(SAN**zwei),"34,464","seventy-one thousand, nine hundred and twenty-eight"
588,2673 ? ?,IquatreV   quatrezwei(SAN**zwei),"29,309","one hundred and twenty thousand, four hundred and three"
589,92675,IZERO(SAN**zwei)   (SAN*zwei)(SAN**zwei)ZEVEN,3.4731E4,"eighty-one thousand, three hundred and sixty-nine"
590,92676,Izwei(SAN*zwei)   ZEROVquatre,"1,945",one hundred and three thousand and thirty-six
591,92677,Izweiocho   quatreZEVEN(SAN**zwei),"63,297","ninety-seven thousand, eight hundred and sixty"
592,92678,Iocho(SAN*zwei)   SANochoI,494,one hundred and seventy-three thousand and ninety-five
593,92679,IZEVENquatre   VV(SAN**zwei),"32,611","one hundred and forty-five thousand, five hundred and ninety-three"
594,92683,ZEVENI   zweizwei(SAN**zwei),"89,747","fifty-eight thousand, nine hundred and sixty-five"
595,92688,III   zweiZEVENV,"43,792","ninety-six thousand, nine hundred and eighty-three"
596,92691,IZERO(SAN*zwei)   ZEROzweiSAN,"47,582","ninety-two thousand, eight hundred and seventy-four"
597,92692,Izwei(SAN*zwei)   ISANI,"47,222","one hundred and six thousand, two hundred and forty-two"
598,92694,IquatreSAN   (SAN**zwei)ZEVENI,2.1944E4,"one hundred and twenty-five thousand, five hundred and twenty-seven"
599,92701,VZEVEN   zwei(SAN**zwei)quatre,"53,908",forty-seven thousand and twenty-seven
600,2703 ? ?,(SAN*zwei)zwei   ZEVENZEROZEVEN,"65,445","fifty-two thousand, three hundred and ninety-three"
601,92704,(SAN*zwei)(SAN**zwei)   (SAN*zwei)(SAN**zwei)(SAN*zwei),"88,123","fifty-eight thousand, five hundred and ninety-five"
602,92705,IIV   zweiZERO(SAN**zwei),"44,706","eighty-six thousand, nine hundred and thirty-seven"
603,92706,ZEVENZEVEN   zweiV(SAN*zwei),"36,457","fifty-nine thousand, five hundred and ninety-six"
604,92707,(SAN*zwei)ZEVEN   ZEVENquatreV,"59,492","fifty-seven thousand, six hundred and twenty"
605,92708,(SAN**zwei)ocho   SANI(SAN**zwei),"56,004","eighty thousand, four hundred and forty-four"
606,92780,ochoZERO   SANquatreZEVEN,"57,741",sixty-five thousand and forty-three
607,92782,Izweizwei   VSANZEVEN,2.3032E4,"ninety-nine thousand, six hundred and fifty-eight"
608,92801,(SAN*zwei)zwei   ZEROSANquatre,"62,068","fifty thousand, seven hundred and eighty-four"
609,92802,(SAN*zwei)zwei   quatre(SAN*zwei)ZERO,"42,690","fifty thousand, five hundred and nineteen"
610,92804,(SAN*zwei)V   ochoIZEVEN,"85,914","fifty-three thousand, three hundred and fifty-four"
611,92805,V(SAN**zwei)   zweiZEVENquatre,"70,401","fifty-one thousand, one hundred and eighty-four"
612,2806 ? ?,(SAN*zwei)(SAN**zwei)   VSANocho,"37,173",fifty-eight thousand and forty
613,92807,IIzwei   (SAN**zwei)ochoSAN,"36,155","ninety-four thousand, one hundred and thirty-nine"
614,92808,Izwei(SAN**zwei)   ZEVENzweiSAN,"20,039","one hundred and eight thousand, four hundred and thirteen"
615,92821,ZEVENzwei   ochoochoSAN,"28,717","sixty-two thousand, nine hundred and eighty-six"
616,92823,ISANquatre   VVSAN,"3,613 foo","ninety-eight thousand, nine hundred and forty-six"
617,92831,ZEVEN(SAN**zwei)   zweiquatre(SAN**zwei),"34,204","sixty-four thousand, four hundred and fifty"
618,92832,ZEVENI   ZEROquatrequatre,"24,752","sixty thousand, one hundred and ninety-three"
619,92833,ocho(SAN*zwei)   quatre(SAN**zwei)quatre,"51,767","seventy-two thousand, four hundred and forty-six"
620,92835,IZEROZEVEN   quatrezweiZEVEN,"24,010","eighty-five thousand, four hundred and seventy-two"
621,92840,ZEVENZERO   SANSANocho,"54,083","sixty-two thousand, one hundred and ninety-six"
622,92841,ZEVENSAN   IzweiZERO,"32,845","sixty-one thousand, two hundred and seven"
623,92843,(SAN*zwei)ZEVEN   zweizweizwei,"45,214","fifty-six thousand, five hundred and fifty-one"
624,2844 ? ?,(SAN*zwei)ocho   ZERO(SAN*zwei)I,"24,307","fifty thousand, four hundred and seventy-one"
625,92845,(SAN**zwei)quatre   ochoZERO(SAN**zwei),1.6333E4,"eighty-seven thousand, two hundred and ninety-five"
626,92860,(SAN**zwei)SAN   VII,"27,198","seventy-six thousand, eight hundred and nine"
627,92861,I(SAN**zwei)SAN   ochoquatreV,"5,781","one hundred and thirty-nine thousand, five hundred and forty-two"
628,92865,ochoZEVEN   zweiZEVENzwei,"19,704",seventy-seven thousand and six
629,92866,ZEVENI   ISANZERO,"14,885",sixty-one thousand and fourteen
630,92867,IZEROquatre   (SAN*zwei)zweiocho,"44,515","eighty-four thousand, one hundred and twenty-two"
631,92868,ZEVENZERO   Vochoquatre,"25,404","sixty thousand, three hundred and eighty-nine"
632,92869,Izweiquatre   quatreochoV,"37,184","ninety-seven thousand, four hundred and eighty-eight"
633,92870,(SAN**zwei)I   IZEVENI,"52,024","seventy-eight thousand, seven hundred and sixteen"
634,92879,ZEVENquatre   zweiquatrezwei,4.6745E4,"sixty-three thousand, two hundred and sixty-six"
635,92880,IZERO(SAN**zwei)   zweizweiZEVEN,"58,763","ninety-six thousand, eight hundred and seventeen"
636,2881 ? ?,IzweiI   ZEVEN(SAN*zwei)ZEVEN,"30,991","one hundred and six thousand, five hundred and fifty-five"
637,92882,ochoocho   VquatreV,"67,917","seventy-six thousand, six hundred and eighty"
638,92883,IIzwei   I(SAN*zwei)ZERO,"29,301",one hundred and one thousand and thirty-nine
639,92886,ISANI   ZEROzweizwei,"46,564","one hundred and three thousand, eight hundred and ninety-one"
640,92887,I(SAN*zwei)ZEVEN   ocho(SAN**zwei)ZERO,"20,006","one hundred and twenty-nine thousand, three hundred and ninety-six"
641,93001,ZEVENI   SANquatre(SAN*zwei),"32,963",fifty-one thousand and eighteen
642,93003,ochoquatre   zweiocho(SAN*zwei),"50,474","seventy-three thousand, four hundred and fifty-one"
643,93004,ocho(SAN*zwei)   ZERO(SAN**zwei)I,2.9149E4,"seventy-one thousand, seven hundred and eighty-two"
644,93010,IZEROZERO   ZEROSAN(SAN*zwei),"42,901","eighty-five thousand, eight hundred and eighty-eight"
645,93012,IISAN   SANSAN(SAN*zwei),"34,617","ninety-five thousand, six hundred and seventy"
646,93013,(SAN**zwei)SAN   SANZEROzwei,"16,076","sixty-eight thousand, one hundred and forty-two"
647,93015,ZEVENSAN   ochoZEVENSAN,"17,332","sixty-three thousand, seven hundred and seventy-eight"
648,3021 ? ?,IIocho   VzweiZERO,"36,422","ninety-nine thousand, one hundred and thirty-two"
649,93022,(SAN**zwei)SAN   (SAN*zwei)ochoZERO,"6,106","seventy-four thousand, nine hundred and thirty-two"
650,93023,(SAN**zwei)ZERO   (SAN*zwei)IV,"20,267","sixty-six thousand, four hundred and ninety-three"
651,93030,(SAN*zwei)(SAN*zwei)   Iochoocho,"59,372","fifty-two thousand, nine hundred and thirty-two"
652,93033,(SAN*zwei)ZERO   IzweiZERO,8.2728E4,"fifty thousand, four hundred and twelve"
653,93035,(SAN**zwei)ocho   (SAN*zwei)Iocho,"27,732","seventy-nine thousand, nine hundred and twenty-four"
654,93036,ZEVEN(SAN*zwei)   ochoZEVEN(SAN**zwei),"41,691","sixty-six thousand, eight hundred and ninety-four"
655,93040,V(SAN*zwei)   VVI,"2,025",forty-nine thousand and nineteen
656,93041,(SAN*zwei)SAN   ZEROquatreocho,"23,641","fifty-six thousand, five hundred and fifteen"
657,93043,(SAN*zwei)ZERO   quatrequatreSAN,333,"fifty-one thousand, seven hundred and thirteen"
658,93060,(SAN*zwei)(SAN*zwei)   ZEVENZEVENSAN,"32,811","fifty-three thousand, one hundred and forty-four"
659,93063,IZEROI   zweiochoocho,"54,366","eighty-seven thousand, three hundred and forty-six"
660,3064 ? ?,Izweizwei   SAN(SAN**zwei)I,40,"one hundred and eleven thousand, one hundred and fourteen"
661,93065,IZEROZEVEN   V(SAN**zwei)SAN,7.2508E4,"ninety-three thousand, seven hundred and fifty-nine"
662,93066,ISAN(SAN*zwei)   Iquatrequatre,"3,102","eighty-nine thousand, eight hundred and fifty-nine"
663,93067,IzweiZERO   ochoV(SAN**zwei),895,"ninety-one thousand, nine hundred and seventy-nine"
664,93101,ZEVENZERO   quatreIV,"31,683","fifty-two thousand, eight hundred and forty-three"
665,93103,(SAN**zwei)(SAN*zwei)   (SAN*zwei)IZEVEN,"20,249","sixty-six thousand, seven hundred and ninety-seven"
666,93105,IZEROV   (SAN**zwei)ZEROZERO,"24,815","seventy-nine thousand, five hundred and sixty-two"
667,93108,IZEVENzwei   ZERO(SAN*zwei)(SAN*zwei),"11,112","ninety-six thousand, one hundred and sixty-three"
668,93109,IZEROI   (SAN*zwei)(SAN*zwei)I,"10,858","seventy-three thousand, three hundred"
669,93110,IZEROquatre   IVSAN,"16,829","seventy-four thousand, five hundred and fifty"
670,93111,IZEROSAN   ochoochoocho,1.7370E4,"eighty-six thousand, five hundred and fifty-nine"
671,93117,ZEVENSAN   zweiVSAN,"53,207","fifty-eight thousand, four hundred and thirty-eight"
672,3201 ? ?,SANZEVEN   ZEROSANI,"1,348",twenty-nine thousand and twenty-eight
673,93202,Vocho   quatreochoZERO,"4,143","fifty thousand, eight hundred and twenty-eight"
674,93203,quatreZERO   SANocho(SAN*zwei),"20,938",thirty-four thousand
675,93205,SAN(SAN**zwei)   (SAN*zwei)ochoSAN,"2,113","twenty-five thousand, five hundred and thirty-six"
676,93206,VZEVEN   VSAN(SAN**zwei),"2,300","forty-seven thousand, three hundred and ninety-four"
677,93207,ZEVENocho   ZEROquatreSAN,263,"fifty-two thousand, seven hundred and thirty-eight"
678,93208,ZEVENocho   ZEROquatreSAN,104,"fifty-two thousand, seven hundred and thirty-eight"
679,93210,SANzwei   quatreSAN(SAN*zwei),1.1218E4,"twenty-five thousand, five hundred and seventy-seven"
680,93212,zweiV   ZEVEN(SAN*zwei)quatre,"13,961","eighteen thousand, seven hundred and sixty-one"
681,93215,quatreI   VVV,"49,806","thirty-two thousand, nine hundred and sixty-nine"
682,93218,VZERO   zweiquatrezwei,994,thirty-three thousand and thirty-eight
683,93219,SANSAN   IZEVENI,"10,194","twenty-five thousand, seven hundred and eighty-three"
684,3220 ? ?,(SAN*zwei)ZERO   ZERO(SAN*zwei)I,211,"fifty-one thousand, seven hundred and thirty-one"
685,93221,V(SAN*zwei)   quatreSANI,"14,945","forty-five thousand, six hundred and fifty-eight"
686,93222,ZEVENSAN   ZEROZEROSAN,"2,099",sixty-two thousand and forty-nine
687,93223,quatrezwei   (SAN**zwei)SANSAN,"10,604","thirty-four thousand, eight hundred and four"
688,93224,(SAN*zwei)SAN   zweiquatre(SAN*zwei),451 foo,"forty-seven thousand, eight hundred and twenty-six"
689,93225,V(SAN**zwei)   (SAN*zwei)V(SAN**zwei),"4,742","fifty-two thousand, five hundred and eighty-six"
690,93226,Vquatre   ZEVEN(SAN**zwei)V,282,thirty-one thousand and fifty-four
691,93230,(SAN*zwei)quatre   ISAN(SAN**zwei),"65,264","fifty-three thousand, six hundred and sixty-five"
692,93234,SANZERO   ZEVEN(SAN**zwei)SAN,"6,987","twenty-four thousand, three hundred and five"
693,93235,Vocho   ochoZERO(SAN*zwei),"4,559","forty-six thousand, six hundred and twenty-four"
694,93238,Vquatre   ochoZEVENquatre,"1,490","thirty-one thousand, one hundred and twenty-eight"
695,93239,quatreZEVEN   (SAN*zwei)(SAN*zwei)(SAN**zwei),"1,654","thirty-eight thousand, one hundred and fifty"
696,3240 ? ?,quatreI   (SAN**zwei)quatreZEVEN,"6,056","twenty-nine thousand, three hundred and forty-four"
697,93241,quatreZERO   SANSANZEVEN,1.7489E4,"thirty-two thousand, four hundred and five"
698,93242,V(SAN*zwei)   ochoochoocho,"3,468","forty-six thousand, five hundred and ninety-three"
699,93243,ZEVENSAN   IquatreSAN,"1,699","sixty-two thousand, five hundred and eighteen"
700,93244,ZEVENZERO   ZEROZEROZEVEN,534,"fifty thousand, three hundred and eighty-four"
701,93245,(SAN*zwei)SAN   ZEVEN(SAN*zwei)ZEVEN,"37,412","fifty-four thousand, two hundred and twenty-eight"
702,93247,quatreV   (SAN*zwei)zwei(SAN*zwei),"17,423","thirty-five thousand, one hundred and forty-two"
703,93249,quatreZERO   ochoVquatre,"2,739","thirty-one thousand, one hundred and one"
704,93250,quatrezwei   ochoquatre(SAN**zwei),"13,522",thirty-six thousand and eighty-seven
705,93251,Vocho   quatreIquatre,270,"forty-three thousand, four hundred and seventy-two"
706,93252,(SAN*zwei)ZERO   ZEVEN(SAN**zwei)ocho,"4,057 foo","forty-six thousand, two hundred and eighty-two"
707,93254,(SAN*zwei)(SAN**zwei)   IzweiZEVEN,811,"forty-six thousand, eight hundred and nineteen"
708,3255 ? ?,Vquatre   ZEVEN(SAN**zwei)V,614,thirty-one thousand and fifty-four
709,93256,quatreV   ZEVEN(SAN**zwei)V,"5,753","twenty-eight thousand, nine hundred and eight"
710,93257,quatreZEVEN   ZEROquatreSAN,"64,774","thirty-seven thousand, nine hundred and fourteen"
711,93258,Vzwei   (SAN*zwei)ZEVENI,"2,046",forty thousand
712,93260,ZEVENocho   ZEROquatreSAN,200,"fifty-two thousand, seven hundred and thirty-eight"
713,93261,SAN(SAN*zwei)   (SAN**zwei)ochoocho,"3,099","twenty-eight thousand, nine hundred and ninety-one"
714,93262,ZEVENV   ZEROochoquatre,63,"fifty-seven thousand, eight hundred and seventy-nine"
715,93263,quatreocho   ZEROV(SAN**zwei),1.9582E4,thirty-nine thousand and twenty-six
716,93265,ZEVENquatre   ocho(SAN*zwei)quatre,"3,699","fifty thousand, nine hundred and twenty-six"
717,93266,quatreocho   (SAN*zwei)quatreZEVEN,"1,587","thirty-eight thousand, nine hundred and thirty-three"
718,93267,quatreocho   (SAN*zwei)ZERO(SAN*zwei),"6,237","thirty-five thousand, nine hundred and eighty"
719,93268,VZERO   zweiZEROZERO,"16,897","thirty-eight thousand, five hundred and fifty-seven"
720,3270 ? ?,VZERO   (SAN*zwei)V(SAN**zwei),"5,837","thirty-three thousand, one hundred and one"
721,93271,ZEVENV   ZEROochoquatre,"2,276","fifty-seven thousand, eight hundred and seventy-nine"
722,93272,quatreSAN   (SAN**zwei)quatreSAN,"3,583","thirty-two thousand, eight hundred and fifty-two"
723,93274,V(SAN*zwei)   quatreVocho,"69,721","forty-eight thousand, five hundred and four"
724,93276,(SAN*zwei)ZEVEN   ZEVEN(SAN**zwei)ZERO,161 foo,fifty thousand and seventy-eight
725,93277,(SAN*zwei)ocho   (SAN*zwei)Iocho,"50,607","fifty-six thousand, six hundred and ninety-two"
726,93280,zweiSAN   quatrezweiZERO,"14,134","eighteen thousand, nine hundred and sixteen"
727,93283,quatreV   Vquatrequatre,"2,040","thirty-three thousand, nine hundred and three"
728,93285,Vquatre   Izweiquatre,"2,536","thirty thousand, eight hundred and six"
729,93286,quatreocho   ocho(SAN*zwei)I,"9,548","forty thousand, two hundred and ninety-five"
730,93287,Vquatre   ZEVEN(SAN**zwei)V,119,thirty-one thousand and fifty-four
731,93291,ZEVENI   quatre(SAN*zwei)(SAN*zwei),"52,849","fifty-four thousand, eight hundred and seventy-seven"
732,3292 ? ?,(SAN*zwei)(SAN*zwei)   VZEROI,"39,032","fifty-three thousand, one hundred and ten"
733,93301,VZERO   ZEROZEROI,1.2248E4,"thirty-five thousand, one hundred and thirty-one"
734,93304,quatreV   quatreZERO(SAN**zwei),"48,731","thirty-six thousand, three hundred and seventy-one"
735,93305,quatre(SAN*zwei)   ocho(SAN*zwei)(SAN**zwei),"37,601","thirty-seven thousand, three hundred and forty"
736,93306,(SAN*zwei)zwei   ZEROquatreZEVEN,"64,587","fifty thousand, four hundred"
737,93307,quatreSAN   ISAN(SAN**zwei),"82,658","thirty-five thousand, seven hundred and eighty"
738,93308,(SAN*zwei)ZERO   quatreSANI,"52,447","forty-nine thousand, four hundred and ninety-four"
739,93309,(SAN*zwei)zwei   VZERO(SAN*zwei),"58,409","fifty-two thousand, three hundred and eighteen"
740,93311,IZEROzwei   (SAN**zwei)zweiocho,"40,829","eighty-one thousand, seven hundred and four"
741,93312,(SAN**zwei)(SAN**zwei)   (SAN*zwei)SAN(SAN**zwei),"56,741","eighty-seven thousand, four hundred and forty-nine"
742,93313,ZEVENI   IISAN,4.3553E4,"sixty-two thousand, nine hundred and forty-five"
743,93314,II(SAN*zwei)   SANVquatre,"22,393","ninety-eight thousand, one hundred and ninety-six"
744,3401 ? ?,ZEVENzwei   (SAN*zwei)SAN(SAN**zwei),"26,250","fifty-four thousand, eight hundred and twenty"
745,93402,(SAN*zwei)ocho   SAN(SAN*zwei)ZEVEN,"14,318","fifty-seven thousand, seven hundred and sixty-nine"
746,93405,quatrezwei   ochoZEROzwei,"28,994","twenty-eight thousand, one hundred and fifty"
747,93420,ocho(SAN**zwei)   Izweiocho,"28,413","sixty-eight thousand, four hundred and eighty-six"
748,93422,ZEVENSAN   (SAN**zwei)zweiZERO,"31,375","sixty-three thousand, one hundred and ninety-five"
749,93424,IVzwei   (SAN**zwei)ZEVENquatre,"1,261","ninety-nine thousand, three hundred and eighteen"
750,93426,ZEVENZEVEN   ZEROZEROZERO,"1,401","sixty-four thousand, seven hundred and seventy-five"
751,93427,IZEROI   (SAN**zwei)IZEVEN,"5,505 foo",seventy-five thousand and eighty-nine
752,93428,(SAN**zwei)ZERO   ZEROquatreZEVEN,"6,314",seventy-one thousand and fifty-four
753,93429,Vzwei   IZEVENquatre,154,"forty-five thousand, five hundred and seven"
754,93430,ZEVENquatre   ZEVENzweiI,"2,972","fifty-three thousand, three hundred and eighty-three"
755,93432,ocho(SAN**zwei)   ZEROochoquatre,"1,384","seventy-one thousand, four hundred and sixty-nine"
756,3433 ? ?,(SAN*zwei)ZERO   ZEVENII,"13,162","forty-seven thousand, eight hundred and fifty-one"
757,93434,quatreZEVEN   Vzwei(SAN**zwei),"7,110","forty-two thousand, six hundred and twenty-seven"
758,93436,(SAN*zwei)ocho   ocho(SAN*zwei)ZEVEN,"54,017","fifty-four thousand, eight hundred and thirty-nine"
759,93437,(SAN*zwei)ZERO   (SAN*zwei)zwei(SAN**zwei),"3,338","fifty-one thousand, four hundred and thirty-nine"
760,93440,IZEROzwei   ZERO(SAN**zwei)ZERO,"2,058 foo","seventy-five thousand, five hundred and forty-one"
761,93441,ISANV   (SAN**zwei)quatrequatre,"1,530","ninety thousand, nine hundred and ninety-six"
762,93442,(SAN*zwei)(SAN*zwei)   quatreI(SAN**zwei),"10,789","fifty-one thousand, three hundred and fifty-five"
763,93444,ZEVEN(SAN**zwei)   VZEVENSAN,"19,244","sixty-four thousand, five hundred and sixty"
764,93445,quatreocho   ZEVENocho(SAN**zwei),"7,173","thirty-nine thousand, eight hundred and sixty-seven"
765,93446,ZEVEN(SAN*zwei)   IzweiI,"43,714","sixty thousand, eight hundred and sixty-two"
766,93449,(SAN**zwei)(SAN**zwei)   (SAN**zwei)zweiquatre,"7,657","sixty-six thousand, two hundred and sixty-two"
767,93450,ochoZERO   ZEROSANZERO,740,"sixty-eight thousand, five hundred and fifty-three"
768,3451 ? ?,ocho(SAN*zwei)   (SAN*zwei)quatrezwei,"3,779","sixty-six thousand, two hundred and twenty-five"
769,93452,ochoocho   ZEVEN(SAN**zwei)ocho,524 foo,"forty-nine thousand, seven hundred and sixty-four"
770,93453,ZEVEN(SAN**zwei)   zwei(SAN*zwei)(SAN*zwei),"2,899","sixty-five thousand, six hundred and sixty-eight"
771,93454,(SAN*zwei)(SAN*zwei)   V(SAN**zwei)ZERO,"36,448","fifty thousand, four hundred and twenty-one"
772,93455,ZEVENocho   (SAN*zwei)(SAN**zwei)SAN,"41,684","sixty-five thousand, six hundred and seventy-one"
773,93458,VV   quatreZEVENquatre,"55,431","forty-six thousand, four hundred and eighty-eight"
774,93460,Izwei(SAN**zwei)   (SAN**zwei)ZEVENZERO,"5,255","ninety-three thousand, five hundred and forty-four"
775,93461,IZEROZERO   (SAN**zwei)zweiZEVEN,"1,623","sixty-six thousand, three hundred and seventy-five"
776,93463,IZEROV   zweiI(SAN**zwei),"7,646","sixty-nine thousand, eight hundred and forty-eight"
777,93465,(SAN**zwei)(SAN*zwei)   ZEVEN(SAN*zwei)ZERO,"9,153","eighty-one thousand, one hundred and forty-six"
778,93501,quatrequatre   zweiZEROV,"5,467 foo","twenty-six thousand, nine hundred and fifteen"
779,93505,VV   ZEVENVZEVEN,"14,038","forty-four thousand, four hundred and twenty-one"
780,3510 ? ?,IZEROZEVEN   (SAN**zwei)zweizwei,"7,993",ninety-one thousand and thirty-one
781,93512,ZEVENquatre   ochoZEVEN(SAN**zwei),277,"seventy-three thousand, five hundred and forty-five"
782,93513,Vocho   quatre(SAN**zwei)quatre,"1,763","fifty-six thousand, six hundred and forty-five"
783,93514,(SAN*zwei)SAN   VI(SAN*zwei),"13,857","fifty thousand, two hundred and ninety-four"
784,93516,V(SAN*zwei)   ZERO(SAN*zwei)quatre,"2,299","thirty-seven thousand, seven hundred and sixty-six"
785,93517,quatreocho   SANzweizwei,670,"forty thousand, nine hundred and three"
786,93518,Vocho   VVocho,"1,146",thirty-four thousand and five
787,93519,quatreSAN   (SAN**zwei)zweiSAN,101 foo,"thirty-four thousand, three hundred and thirty-six"
788,93522,VZERO   (SAN**zwei)ocho(SAN**zwei),48,"thirty-eight thousand, nine hundred and eighty-three"
789,93523,(SAN*zwei)zwei   SANZEVENZEVEN,"3,074","fifty-two thousand, six hundred and thirty-two"
790,93524,ZEVENzwei   SANSAN(SAN*zwei),229,"sixty-two thousand, five hundred"
